Country,Year,Population,Income,Energy
Cote d'Ivoire,2006,19200000,2740,531
Cote d'Ivoire,2007,19600000,2800,522
Cote d'Ivoire,2008,20100000,2890,467
Cote d'Ivoire,2009,20500000,2940,495
Cote d'Ivoire,2010,21000000,2810,554
Cameroon,1970,6690000,2800,403
Cameroon,1971,6870000,2820,401
Cameroon,1972,7050000,2880,399
Cameroon,1973,7250000,2910,399
Cameroon,1974,7450000,2940,407
Cameroon,1975,7660000,2710,402
Cameroon,1976,7890000,3000,418
Cameroon,1977,8120000,3560,419
Cameroon,1978,8370000,3670,422
Cameroon,1979,8620000,3990,424
Cameroon,1980,8890000,4160,432
Cameroon,1981,9170000,4350,438
Cameroon,1982,9460000,4580,439
Cameroon,1983,9760000,4800,440
Cameroon,1984,10100000,4770,443
Cameroon,1985,10400000,4390,435
Cameroon,1986,10700000,4020,429
Cameroon,1987,11100000,3760,429
Cameroon,1988,11400000,3530,431
Cameroon,1989,11800000,3220,423
Cameroon,1990,12100000,3010,414
Cameroon,1991,12500000,2830,407
Cameroon,1992,12900000,2530,409
Cameroon,1993,13200000,2520,411
Cameroon,1994,13600000,2530,407
Cameroon,1995,14000000,2570,406
Cameroon,1996,14300000,2640,407
Cameroon,1997,14700000,2680,408
Cameroon,1998,15100000,2730,400
Cameroon,1999,15500000,2750,407
Cameroon,2000,15900000,2800,401
Cameroon,2001,16400000,2840,400
Cameroon,2002,16800000,2890,405
Cameroon,2003,17300000,3000,406
Cameroon,2004,17700000,2980,398
Cameroon,2005,18200000,3000,369
Cameroon,2006,18700000,3060,338
Cameroon,2007,19300000,3090,332
Cameroon,2008,19800000,3070,349
Cameroon,2009,20300000,3090,342
Cameroon,2010,20900000,3130,321
"Congo, Dem. Rep.",1970,20600000,2760,325
"Congo, Dem. Rep.",1971,21100000,2700,324
"Congo, Dem. Rep.",1972,21700000,2850,327
"Congo, Dem. Rep.",1973,22300000,2860,327
"Congo, Dem. Rep.",1974,22900000,2650,326
"Congo, Dem. Rep.",1975,23600000,2440,322
"Congo, Dem. Rep.",1976,24200000,2400,323
"Congo, Dem. Rep.",1977,25000000,2210,322
"Congo, Dem. Rep.",1978,25700000,2160,327
"Congo, Dem. Rep.",1979,26400000,2150,321
"Congo, Dem. Rep.",1980,27000000,2150,328
"Congo, Dem. Rep.",1981,27700000,2090,321
"Congo, Dem. Rep.",1982,28400000,2070,334
"Congo, Dem. Rep.",1983,29100000,2140,342
"Congo, Dem. Rep.",1984,29900000,2100,333
"Congo, Dem. Rep.",1985,30700000,2140,331
"Congo, Dem. Rep.",1986,31500000,2150,335
"Congo, Dem. Rep.",1987,32400000,2100,338
"Congo, Dem. Rep.",1988,33500000,2010,336
"Congo, Dem. Rep.",1989,34600000,1820,341
"Congo, Dem. Rep.",1990,35900000,1610,329
"Congo, Dem. Rep.",1991,37300000,1380,322
"Congo, Dem. Rep.",1992,38800000,1150,316
"Congo, Dem. Rep.",1993,40300000,1070,306
"Congo, Dem. Rep.",1994,41600000,1040,309
"Congo, Dem. Rep.",1995,42800000,1000,310
"Congo, Dem. Rep.",1996,43800000,921,308
"Congo, Dem. Rep.",1997,44800000,886,308
"Congo, Dem. Rep.",1998,45900000,828,303
"Congo, Dem. Rep.",1999,47100000,752,295
"Congo, Dem. Rep.",2000,48400000,716,297
"Congo, Dem. Rep.",2001,49900000,715,298
"Congo, Dem. Rep.",2002,51400000,733,300
"Congo, Dem. Rep.",2003,53100000,758,302
"Congo, Dem. Rep.",2004,54800000,779,304
"Congo, Dem. Rep.",2005,56600000,794,306
"Congo, Dem. Rep.",2006,58500000,817,307
"Congo, Dem. Rep.",2007,60400000,840,308
"Congo, Dem. Rep.",2008,62400000,836,307
"Congo, Dem. Rep.",2009,64600000,866,307
"Congo, Dem. Rep.",2010,66800000,895,316
"Congo, Rep.",1970,1370000,3110,372
"Congo, Rep.",1971,1410000,3170,374
"Congo, Rep.",1972,1450000,3650,368
"Congo, Rep.",1973,1490000,3540,364
"Congo, Rep.",1974,1540000,3430,360
"Congo, Rep.",1975,1580000,3510,383
"Congo, Rep.",1976,1630000,3180,354
"Congo, Rep.",1977,1680000,3290,357
"Congo, Rep.",1978,1730000,3580,346
"Congo, Rep.",1979,1780000,3940,349
"Congo, Rep.",1980,1830000,4670,349
"Congo, Rep.",1981,1880000,5640,359
"Congo, Rep.",1982,1940000,5820,391
"Congo, Rep.",1983,2000000,6100,368
"Congo, Rep.",1984,2050000,5900,372
"Congo, Rep.",1985,2110000,5360,356
"Congo, Rep.",1986,2170000,5250,352
"Congo, Rep.",1987,2230000,5220,333
"Congo, Rep.",1988,2290000,5190,337
"Congo, Rep.",1989,2360000,5120,334
"Congo, Rep.",1990,2420000,5100,339
"Congo, Rep.",1991,2490000,5090,326
"Congo, Rep.",1992,2560000,4900,319
"Congo, Rep.",1993,2630000,4500,268
"Congo, Rep.",1994,2710000,4550,297
"Congo, Rep.",1995,2790000,4610,272
"Congo, Rep.",1996,2870000,4460,253
"Congo, Rep.",1997,2950000,4490,246
"Congo, Rep.",1998,3040000,4250,235
"Congo, Rep.",1999,3130000,4440,227
"Congo, Rep.",2000,3220000,4480,247
"Congo, Rep.",2001,3310000,4550,242
"Congo, Rep.",2002,3410000,4460,278
"Congo, Rep.",2003,3510000,4480,286
"Congo, Rep.",2004,3620000,4680,300
"Congo, Rep.",2005,3750000,4890,379
"Congo, Rep.",2006,3880000,4410,325
"Congo, Rep.",2007,4010000,4530,336
"Congo, Rep.",2008,4150000,4890,371
"Congo, Rep.",2009,4270000,5220,392
"Congo, Rep.",2010,4390000,5190,508
Colombia,1970,22000000,5730,630
Colombia,1971,22500000,6010,616
Colombia,1972,23000000,6250,606
Colombia,1973,23500000,6450,627
Colombia,1974,24100000,6450,641
Colombia,1975,24600000,6600,652
Colombia,1976,25200000,6730,657
Colombia,1977,25700000,7150,640
Colombia,1978,26300000,7380,611
Colombia,1979,26900000,7500,658
Colombia,1980,27500000,7480,652
Colombia,1981,28100000,7380,656
Colombia,1982,28700000,7310,663
Colombia,1983,29300000,7390,671
Colombia,1984,30000000,7450,667
Colombia,1985,30600000,7720,712
Colombia,1986,31200000,7950,721
Colombia,1987,31800000,8100,728
Colombia,1988,32500000,8180,720
Colombia,1989,33100000,8340,732
Colombia,1990,33800000,8340,725
Colombia,1991,34400000,8510,728
Colombia,1992,35100000,8790,747
Colombia,1993,35800000,9130,759
Colombia,1994,36400000,9430,758
Colombia,1995,37100000,9460,763
Colombia,1996,37700000,9610,727
Colombia,1997,38400000,9510,749
Colombia,1998,39000000,8960,659
Colombia,1999,39600000,9070,651
Colombia,2000,40300000,9080,639
Colombia,2001,40900000,9170,617
Colombia,2002,41500000,9390,620
Colombia,2003,42100000,9750,618
Colombia,2004,42600000,10100,635
Colombia,2005,43200000,10600,659
Colombia,2006,43700000,11200,647
Colombia,2007,44300000,11400,669
Colombia,2008,44800000,11400,686
Colombia,2009,45200000,11800,690
Colombia,2010,45700000,12500,684
Costa Rica,1970,1900000,7480,426
Costa Rica,1971,1940000,7950,444
Costa Rica,1972,1990000,8380,471
Costa Rica,1973,2040000,8630,450
Costa Rica,1974,2090000,8600,475
Costa Rica,1975,2150000,8850,467
Costa Rica,1976,2210000,9410,530
Costa Rica,1977,2260000,9650,558
Costa Rica,1978,2330000,9860,561
Costa Rica,1979,2390000,9810,526
Costa Rica,1980,2460000,9390,481
Costa Rica,1981,2520000,8530,456
Costa Rica,1982,2590000,8550,437
Costa Rica,1983,2660000,9000,461
Costa Rica,1984,2740000,8840,462
Costa Rica,1985,2810000,9100,471
Costa Rica,1986,2880000,9310,489
Costa Rica,1987,2960000,9410,488
Costa Rica,1988,3040000,9730,530
Costa Rica,1989,3120000,9870,538
Costa Rica,1990,3200000,9830,556
Costa Rica,1991,3290000,10500,699
Costa Rica,1992,3370000,10900,695
Costa Rica,1993,3460000,11100,668
Costa Rica,1994,3550000,11300,665
Costa Rica,1995,3630000,11200,652
Costa Rica,1996,3720000,11500,645
Costa Rica,1997,3800000,12000,627
Costa Rica,1998,3890000,12200,677
Costa Rica,1999,3960000,12500,725
Costa Rica,2000,4030000,12700,717
Costa Rica,2001,4100000,12900,742
Costa Rica,2002,4160000,13200,784
Costa Rica,2003,4230000,13600,915
Costa Rica,2004,4290000,13900,902
Costa Rica,2005,4350000,14700,963
Costa Rica,2006,4400000,15700,1020
Costa Rica,2007,4460000,16200,1030
Costa Rica,2008,4520000,15900,1010
Costa Rica,2009,4580000,16400,1020
Costa Rica,2010,4630000,16900,1000
Cuba,1970,8870000,3640,1180
Cuba,1971,9030000,3740,1120
Cuba,1972,9180000,4010,1180
Cuba,1973,9320000,4150,1230
Cuba,1974,9450000,4290,1240
Cuba,1975,9550000,4350,1290
Cuba,1976,9650000,4500,1390
Cuba,1977,9720000,4730,1460
Cuba,1978,9790000,4810,1490
Cuba,1979,9850000,4720,1490
Cuba,1980,9900000,5080,1490
Cuba,1981,9940000,5160,1500
Cuba,1982,9980000,5410,1580
Cuba,1983,10000000,5810,1530
Cuba,1984,10100000,5890,1510
Cuba,1985,10200000,5840,1500
Cuba,1986,10300000,5620,1540
Cuba,1987,10400000,5740,1610
Cuba,1988,10500000,5740,1740
Cuba,1989,10600000,5420,1640
Cuba,1990,10700000,4580,1350
Cuba,1991,10700000,3910,1180
Cuba,1992,10800000,3060,977
Cuba,1993,10800000,3090,1000
Cuba,1994,10900000,3290,998
Cuba,1995,10900000,3740,1080
Cuba,1996,11000000,3940,1110
Cuba,1997,11000000,3930,1030
Cuba,1998,11100000,4170,1070
Cuba,1999,11100000,4610,1140
Cuba,2000,11200000,4870,1110
Cuba,2001,11200000,5030,1040
Cuba,2002,11200000,5180,1030
Cuba,2003,11300000,5250,1000
Cuba,2004,11300000,5420,947
Cuba,2005,11300000,6230,946
Cuba,2006,11300000,6480,901
Cuba,2007,11200000,6910,958
Cuba,2008,11200000,7190,1020
Cuba,2009,11200000,7570,1100
Cuba,2010,11200000,7970,1030
Cyprus,1970,621000,9760,946
Cyprus,1971,628000,10400,1190
Cyprus,1972,635000,10700,1230
Cyprus,1973,642000,8900,925
Cyprus,1974,650000,7650,869
Cyprus,1975,658000,9310,998
Cyprus,1976,666000,10900,1070
Cyprus,1977,673000,11800,1120
Cyprus,1978,680000,13000,1210
Cyprus,1979,685000,13800,1260
Cyprus,1980,689000,14200,1230
Cyprus,1981,692000,15100,1250
Cyprus,1982,694000,15900,1290
Cyprus,1983,698000,17300,1330
Cyprus,1984,704000,18100,1310
Cyprus,1985,712000,18900,1460
Cyprus,1986,723000,20100,1640
Cyprus,1987,736000,21800,1640
Cyprus,1988,751000,23600,1680
Cyprus,1989,767000,25200,1780
Cyprus,1990,783000,24700,1780
Cyprus,1991,801000,26300,1960
Cyprus,1992,819000,25900,2060
Cyprus,1993,837000,26900,2300
Cyprus,1994,855000,28600,1980
Cyprus,1995,873000,28500,2160
Cyprus,1996,891000,28800,2070
Cyprus,1997,909000,30200,2170
Cyprus,1998,926000,31400,2150
Cyprus,1999,943000,32900,2270
Cyprus,2000,960000,33800,2200
Cyprus,2001,977000,34700,2190
Cyprus,2002,994000,35200,2350
Cyprus,2003,1010000,36400,2160
Cyprus,2004,1030000,37700,2160
Cyprus,2005,1050000,38800,2210
Cyprus,2006,1060000,39900,2290
Cyprus,2007,1080000,40300,2390
Cyprus,2008,1100000,38500,2300
Cyprus,2009,1110000,38200,2200
Cyprus,2010,1120000,37400,2110
Czech Republic,1970,9850000,12300,4620
Czech Republic,1971,9890000,13100,4610
Czech Republic,1972,9950000,13800,4550
Czech Republic,1973,10000000,14500,4190
Czech Republic,1974,10100000,15400,4340
Czech Republic,1975,10100000,16100,4440
Czech Republic,1976,10200000,16800,4720
Czech Republic,1977,10300000,17600,4430
Czech Republic,1978,10300000,18000,4700
Czech Republic,1979,10300000,18500,4560
Czech Republic,1980,10400000,18600,4570
Czech Republic,1981,10400000,18500,4630
Czech Republic,1982,10400000,19000,4650
Czech Republic,1983,10300000,19700,4740
Czech Republic,1984,10300000,20300,4760
Czech Republic,1985,10300000,21100,4840
Czech Republic,1986,10300000,21900,4980
Czech Republic,1987,10300000,22500,4880
Czech Republic,1988,10300000,23200,4740
Czech Republic,1989,10300000,23700,4800
Czech Republic,1990,10300000,21000,4350
Czech Republic,1991,10400000,20800,4220
Czech Republic,1992,10400000,20800,4090
Czech Republic,1993,10400000,21400,3960
Czech Republic,1994,10400000,22800,4020
Czech Republic,1995,10400000,23800,4150
Czech Republic,1996,10300000,23700,4180
Czech Republic,1997,10300000,23700,4060
Czech Republic,1998,10300000,24000,3780
Czech Republic,1999,10300000,25100,3990
Czech Republic,2000,10300000,25900,4110
Czech Republic,2001,10300000,26400,4160
Czech Republic,2002,10200000,27300,4360
Czech Republic,2003,10200000,28600,4460
Czech Republic,2004,10300000,30500,4400
Czech Republic,2005,10300000,32500,4490
Czech Republic,2006,10400000,34100,4470
Czech Republic,2007,10400000,34700,4330
Czech Republic,2008,10500000,32900,4030
Czech Republic,2009,10500000,33600,4240
Czech Republic,2010,10600000,34100,4080
Germany,1970,78800000,22200,3900
Germany,1971,78900000,23200,4020
Germany,1972,78900000,24400,4240
Germany,1973,78900000,24800,4160
Germany,1974,78900000,24900,3980
Germany,1975,78800000,26500,4310
Germany,1976,78700000,27500,4340
Germany,1977,78600000,28500,4480
Germany,1978,78400000,29900,4690
Germany,1979,78300000,30300,4560
Germany,1980,78100000,30600,4400
Germany,1981,77900000,30600,4260
Germany,1982,77800000,31500,4270
Germany,1983,77700000,32700,4450
Germany,1984,77700000,33700,4600
Germany,1985,77800000,34700,4590
Germany,1986,78000000,35500,4620
Germany,1987,78300000,36800,4630
Germany,1988,78700000,38000,4510
Germany,1989,79100000,36800,4420
Germany,1990,79500000,38400,4300
Germany,1991,80000000,38800,4190
Germany,1992,80400000,38200,4120
Germany,1993,80800000,38900,4090
Germany,1994,81100000,39400,4120
Germany,1995,81300000,39600,4250
Germany,1996,81400000,40300,4200
Germany,1997,81400000,41100,4180
Germany,1998,81400000,41800,4080
Germany,1999,81400000,43000,4090
Germany,2000,81500000,43700,4210
Germany,2001,81500000,43500,4110
Germany,2002,81600000,43200,4080
Germany,2003,81600000,43700,4110
Germany,2004,81600000,44000,4090
Germany,2005,81500000,45800,4200
Germany,2006,81300000,47200,3990
Germany,2007,81100000,47700,4040
Germany,2008,80900000,45100,3790
Germany,2009,80800000,47100,4000
Germany,2010,80900000,49800,3870
Denmark,1970,4960000,25100,3730
Denmark,1971,4990000,26400,3860
Denmark,1972,5020000,27300,3780
Denmark,1973,5040000,27100,3490
Denmark,1974,5060000,26900,3450
Denmark,1975,5080000,28700,3750
Denmark,1976,5100000,29300,3830
Denmark,1977,5110000,29700,3890
Denmark,1978,5120000,30900,4020
Denmark,1979,5120000,30800,3740
Denmark,1980,5130000,30700,3380
Denmark,1981,5120000,31800,3420
Denmark,1982,5120000,32800,3230
Denmark,1983,5120000,34400,3350
Denmark,1984,5110000,36100,3770
Denmark,1985,5110000,37500,3820
Denmark,1986,5120000,37700,3820
Denmark,1987,5120000,38300,3640
Denmark,1988,5130000,38600,3410
Denmark,1989,5140000,39200,3380
Denmark,1990,5150000,39600,3730
Denmark,1991,5170000,40200,3560
Denmark,1992,5190000,40100,3650
Denmark,1993,5210000,42100,3760
Denmark,1994,5230000,43200,3710
Denmark,1995,5250000,44200,4170
Denmark,1996,5280000,45400,3850
Denmark,1997,5300000,46200,3770
Denmark,1998,5320000,47500,3600
Denmark,1999,5340000,49100,3490
Denmark,2000,5360000,49300,3580
Denmark,2001,5370000,49400,3540
Denmark,2002,5390000,49400,3730
Denmark,2003,5400000,50600,3600
Denmark,2004,5420000,51600,3490
Denmark,2005,5440000,53500,3730
Denmark,2006,5470000,53700,3620
Denmark,2007,5500000,53200,3500
Denmark,2008,5530000,50300,3330
Denmark,2009,5550000,51000,3510
Denmark,2010,5580000,51500,3230
Dominican Republic,1970,4630000,3500,506
Dominican Republic,1971,4760000,3870,574
Dominican Republic,1972,4880000,4260,587
Dominican Republic,1973,5010000,4440,602
Dominican Republic,1974,5140000,4590,599
Dominican Republic,1975,5280000,4820,603
Dominican Republic,1976,5410000,4990,602
Dominican Republic,1977,5540000,5030,603
Dominican Republic,1978,5670000,5180,612
Dominican Republic,1979,5800000,5420,592
Dominican Republic,1980,5940000,5570,599
Dominican Republic,1981,6070000,5590,598
Dominican Republic,1982,6200000,5760,622
Dominican Republic,1983,6330000,5710,642
Dominican Republic,1984,6460000,5490,524
Dominican Republic,1985,6600000,5590,533
Dominican Republic,1986,6730000,5940,592
Dominican Republic,1987,6860000,5910,555
Dominican Republic,1988,7000000,6580,537
Dominican Republic,1989,7130000,6200,563
Dominican Republic,1990,7270000,6140,557
Dominican Republic,1991,7410000,6710,606
Dominican Republic,1992,7550000,7070,576
Dominican Republic,1993,7680000,7120,650
Dominican Republic,1994,7820000,7400,671
Dominican Republic,1995,7950000,7710,689
Dominican Republic,1996,8080000,8260,756
Dominican Republic,1997,8210000,8670,786
Dominican Republic,1998,8340000,9040,805
Dominican Republic,1999,8470000,9320,852
Dominican Republic,2000,8600000,9410,814
Dominican Republic,2001,8720000,9690,852
Dominican Republic,2002,8850000,9430,795
Dominican Republic,2003,8970000,9530,709
Dominican Republic,2004,9100000,10300,760
Dominican Republic,2005,9220000,11100,777
Dominican Republic,2006,9340000,11800,780
Dominican Republic,2007,9460000,12000,772
Dominican Republic,2008,9580000,11900,748
Dominican Republic,2009,9700000,12800,777
Dominican Republic,2010,9810000,13000,781
Algeria,1970,14900000,5830,233
Algeria,1971,15300000,6940,263
Algeria,1972,15700000,7060,307
Algeria,1973,16100000,7130,321
Algeria,1974,16600000,7340,332
Algeria,1975,17100000,7590,369
Algeria,1976,17600000,8070,401
Algeria,1977,18100000,8650,480
Algeria,1978,18600000,9030,590
Algeria,1979,19200000,8840,583
Algeria,1980,19800000,8840,615
Algeria,1981,20500000,9120,776
Algeria,1982,21100000,9330,813
Algeria,1983,21800000,9560,781
Algeria,1984,22400000,9630,791
Algeria,1985,23100000,9390,868
Algeria,1986,23800000,9070,833
Algeria,1987,24400000,8740,855
Algeria,1988,25100000,8890,825
Algeria,1989,25800000,8750,861
Algeria,1990,26400000,8430,889
Algeria,1991,27000000,8380,889
Algeria,1992,27600000,8030,872
Algeria,1993,28200000,7790,824
Algeria,1994,28800000,7940,843
Algeria,1995,29300000,8120,802
Algeria,1996,29700000,8080,809
Algeria,1997,30200000,8360,825
Algeria,1998,30600000,8510,868
Algeria,1999,31000000,8710,870
Algeria,2000,31500000,8860,860
Algeria,2001,31900000,9230,908
Algeria,2002,32300000,9770,953
Algeria,2003,32700000,10100,952
Algeria,2004,33100000,10500,978
Algeria,2005,33600000,10500,1030
Algeria,2006,34200000,10700,1080
Algeria,2007,34700000,10800,1070
Algeria,2008,35300000,10800,1150
Algeria,2009,36000000,11000,1110
Algeria,2010,36700000,11100,1140
Ecuador,1970,6250000,5670,358
Ecuador,1971,6430000,5870,361
Ecuador,1972,6610000,6450,356
Ecuador,1973,6800000,6660,419
Ecuador,1974,6990000,6850,449
Ecuador,1975,7190000,7330,486
Ecuador,1976,7380000,7620,567
Ecuador,1977,7580000,7960,569
Ecuador,1978,7780000,8190,585
Ecuador,1979,7990000,8370,625
Ecuador,1980,8200000,8520,634
Ecuador,1981,8410000,8420,665
Ecuador,1982,8620000,8070,601
Ecuador,1983,8840000,8220,628
Ecuador,1984,9070000,8380,619
Ecuador,1985,9290000,8440,602
Ecuador,1986,9520000,7750,601
Ecuador,1987,9760000,8400,615
Ecuador,1988,9990000,8240,574
Ecuador,1989,10200000,8290,619
Ecuador,1990,10500000,8450,635
Ecuador,1991,10700000,8430,629
Ecuador,1992,11000000,8410,573
Ecuador,1993,11200000,8570,600
Ecuador,1994,11500000,8580,687
Ecuador,1995,11700000,8540,708
Ecuador,1996,12000000,8720,720
Ecuador,1997,12200000,8830,725
Ecuador,1998,12400000,8240,639
Ecuador,1999,12700000,8180,695
Ecuador,2000,12900000,8350,724
Ecuador,2001,13100000,8540,695
Ecuador,2002,13400000,8630,693
Ecuador,2003,13600000,9180,658
Ecuador,2004,13800000,9500,675
Ecuador,2005,14100000,9760,667
Ecuador,2006,14300000,9810,742
Ecuador,2007,14500000,10300,672
Ecuador,2008,14800000,10100,788
Ecuador,2009,15000000,10300,784
Ecuador,2010,15200000,11000,818
Egypt,1970,35300000,2620,221
Egypt,1971,36100000,2650,238
Egypt,1972,36900000,2700,217
Egypt,1973,37700000,2770,238
Egypt,1974,38500000,3020,254
Egypt,1975,39400000,3440,289
Egypt,1976,40300000,3820,309
Egypt,1977,41300000,4020,311
Egypt,1978,42300000,4250,334
Egypt,1979,43300000,4590,349
Egypt,1980,44400000,4650,396
Egypt,1981,45500000,5020,423
Egypt,1982,46700000,5290,457
Egypt,1983,48000000,5490,494
Egypt,1984,49300000,5720,521
Egypt,1985,50600000,5740,521
Egypt,1986,52000000,5800,540
Egypt,1987,53400000,5960,538
Egypt,1988,54800000,6050,560
Egypt,1989,56100000,6090,575
Egypt,1990,57400000,6020,562
Egypt,1991,58700000,6150,564
Egypt,1992,59900000,6200,573
Egypt,1993,61100000,6320,541
Egypt,1994,62300000,6480,564
Egypt,1995,63600000,6670,586
Egypt,1996,64900000,6900,598
Egypt,1997,66200000,7140,629
Egypt,1998,67500000,7420,630
Egypt,1999,68800000,7750,590
Egypt,2000,70200000,7870,650
Egypt,2001,71500000,7910,658
Egypt,2002,72800000,8010,670
Egypt,2003,74200000,8180,711
Egypt,2004,75500000,8400,814
Egypt,2005,76900000,8810,845
Egypt,2006,78200000,9280,889
Egypt,2007,79600000,9760,908
Egypt,2008,81100000,10000,911
Egypt,2009,82800000,10300,877
Egypt,2010,84500000,10300,901
Spain,1970,34300000,12400,1240
Spain,1971,34700000,13700,1300
Spain,1972,35100000,14800,1470
Spain,1973,35500000,15900,1580
Spain,1974,35900000,16300,1610
Spain,1975,36300000,17000,1710
Spain,1976,36700000,17500,1660
Spain,1977,37000000,18000,1760
Spain,1978,37400000,18200,1770
Spain,1979,37700000,18800,1810
Spain,1980,38000000,18800,1820
Spain,1981,38200000,19100,1760
Spain,1982,38400000,19500,1780
Spain,1983,38600000,19800,1810
Spain,1984,38700000,20400,1840
Spain,1985,38900000,21300,1880
Spain,1986,39000000,22900,1920
Spain,1987,39000000,24500,2070
Spain,1988,39100000,26200,2270
Spain,1989,39200000,27600,2320
Spain,1990,39300000,28300,2400
Spain,1991,39400000,28400,2430
Spain,1992,39500000,27900,2320
Spain,1993,39700000,28500,2440
Spain,1994,39800000,29100,2540
Spain,1995,39900000,29800,2490
Spain,1996,40000000,30800,2630
Spain,1997,40200000,32000,2760
Spain,1998,40500000,33300,2880
Spain,1999,40800000,34900,3000
Spain,2000,41300000,36000,3060
Spain,2001,41900000,36500,3110
Spain,2002,42600000,36900,3160
Spain,2003,43300000,37400,3240
Spain,2004,44000000,38100,3250
Spain,2005,44700000,39000,3190
Spain,2006,45400000,39600,3180
Spain,2007,46100000,39400,3030
Spain,2008,46600000,37500,2760
Spain,2009,46900000,37400,2740
Spain,2010,47100000,37000,2690
Ethiopia,1970,29200000,1000,476
Ethiopia,1971,30100000,1020,474
Ethiopia,1972,31000000,1020,474
Ethiopia,1973,31900000,998,474
Ethiopia,1974,32600000,966,472
Ethiopia,1975,33100000,958,472
Ethiopia,1976,33600000,951,472
Ethiopia,1977,34000000,917,474
Ethiopia,1978,34500000,952,475
Ethiopia,1979,35100000,973,475
Ethiopia,1980,36000000,940,476
Ethiopia,1981,37000000,903,475
Ethiopia,1982,38100000,910,475
Ethiopia,1983,39400000,861,474
Ethiopia,1984,40700000,783,474
Ethiopia,1985,42000000,809,475
Ethiopia,1986,43300000,852,478
Ethiopia,1987,44800000,832,477
Ethiopia,1988,46300000,811,478
Ethiopia,1989,47900000,767,479
Ethiopia,1990,49600000,688,478
Ethiopia,1991,51400000,606,473
Ethiopia,1992,53300000,661,475
Ethiopia,1993,55200000,659,477
Ethiopia,1994,57000000,677,478
Ethiopia,1995,58900000,737,479
Ethiopia,1996,60700000,737,478
Ethiopia,1997,62500000,691,478
Ethiopia,1998,64300000,706,478
Ethiopia,1999,66200000,728,478
Ethiopia,2000,68200000,766,482
Ethiopia,2001,70100000,755,483
Ethiopia,2002,72200000,718,484
Ethiopia,2003,74200000,793,485
Ethiopia,2004,76300000,862,483
Ethiopia,2005,78500000,930,484
Ethiopia,2006,80700000,1010,486
Ethiopia,2007,82900000,1090,487
Ethiopia,2008,85200000,1150,487
Ethiopia,2009,87600000,1260,487
Ethiopia,2010,90100000,1360,489
Finland,1970,4630000,18300,3940
Finland,1971,4650000,19700,4190
Finland,1972,4680000,20900,4510
Finland,1973,4700000,21500,4380
Finland,1974,4720000,21700,4180
Finland,1975,4730000,21600,4460
Finland,1976,4750000,21600,4520
Finland,1977,4760000,22000,4660
Finland,1978,4770000,23600,4960
Finland,1979,4790000,24800,5150
Finland,1980,4810000,25200,4930
Finland,1981,4840000,25900,4810
Finland,1982,4860000,26500,4820
Finland,1983,4890000,27200,4910
Finland,1984,4910000,28100,5270
Finland,1985,4930000,28700,5480
Finland,1986,4950000,29900,5960
Finland,1987,4960000,31300,5590
Finland,1988,4980000,33100,5750
Finland,1989,5000000,33000,5690
Finland,1990,5020000,30900,5740
Finland,1991,5040000,29700,5380
Finland,1992,5070000,29300,5620
Finland,1993,5100000,30400,5970
Finland,1994,5120000,31500,5660
Finland,1995,5140000,32600,6070
Finland,1996,5150000,34500,6280
Finland,1997,5160000,36300,6320
Finland,1998,5180000,37800,6280
Finland,1999,5190000,39900,6260
Finland,2000,5200000,40900,6410
Finland,2001,5210000,41500,6730
Finland,2002,5230000,42200,7080
Finland,2003,5240000,43800,7130
Finland,2004,5260000,44800,6560
Finland,2005,5280000,46500,7110
Finland,2006,5300000,48700,6970
Finland,2007,5320000,48900,6670
Finland,2008,5340000,44700,6270
Finland,2009,5370000,45900,6830
Finland,2010,5390000,46900,6540
France,1970,51200000,22100,3030
France,1971,51600000,22900,3170
France,1972,52000000,24000,3390
France,1973,52400000,24600,3250
France,1974,52700000,24300,3060
France,1975,53000000,25300,3250
France,1976,53200000,26200,3170
France,1977,53400000,26800,3370
France,1978,53600000,27600,3500
France,1979,53900000,27900,3480
France,1980,54100000,28100,3380
France,1981,54400000,28700,3280
France,1982,54700000,28900,3350
France,1983,55000000,29200,3450
France,1984,55300000,29600,3600
France,1985,55500000,30200,3630
France,1986,55800000,30800,3700
France,1987,56100000,32100,3670
France,1988,56400000,33100,3800
France,1989,56700000,33800,3850
France,1990,56900000,34000,4040
France,1991,57100000,34400,3950
France,1992,57400000,34000,4000
France,1993,57600000,34700,3840
France,1994,57800000,35300,3980
France,1995,58000000,35700,4190
France,1996,58200000,36400,4050
France,1997,58400000,37500,4150
France,1998,58700000,38600,4120
France,1999,59000000,39900,4140
France,2000,59400000,40400,4250
France,2001,59800000,40500,4230
France,2002,60300000,40600,4270
France,2003,60700000,41400,4300
France,2004,61100000,41800,4290
France,2005,61500000,42500,4190
France,2006,61900000,43300,4120
France,2007,62200000,43100,4110
France,2008,62500000,41700,3910
France,2009,62900000,42300,4020
France,2010,63200000,43000,3850
Gabon,1970,601000,12900,1780
Gabon,1971,612000,14100,1710
Gabon,1972,623000,15300,2320
Gabon,1973,635000,20900,2480
Gabon,1974,648000,24400,2010
Gabon,1975,661000,32400,1880
Gabon,1976,676000,27600,2010
Gabon,1977,692000,20500,2230
Gabon,1978,709000,20100,1930
Gabon,1979,726000,20100,1890
Gabon,1980,745000,20600,2070
Gabon,1981,764000,19400,2080
Gabon,1982,784000,19900,2080
Gabon,1983,805000,20900,1890
Gabon,1984,827000,19800,1640
