Country,Year,Population,,Population,,Population,Income,Energy
Cyprus,1987,736k,#VALUE!,736,736000,736000,21.8k,1640
Cyprus,1988,751k,#VALUE!,751,751000,751000,23.6k,1680
Cyprus,1989,767k,#VALUE!,767,767000,767000,25.2k,1780
Cyprus,1990,783k,#VALUE!,783,783000,783000,24.7k,1780
Cyprus,1991,801k,#VALUE!,801,801000,801000,26.3k,1960
Cyprus,1992,819k,#VALUE!,819,819000,819000,25.9k,2060
Cyprus,1993,837k,#VALUE!,837,837000,837000,26.9k,2300
Cyprus,1994,855k,#VALUE!,855,855000,855000,28.6k,1980
Cyprus,1995,873k,#VALUE!,873,873000,873000,28.5k,2160
Cyprus,1996,891k,#VALUE!,891,891000,891000,28.8k,2070
Cyprus,1997,909k,#VALUE!,909,909000,909000,30.2k,2170
Cyprus,1998,926k,#VALUE!,926,926000,926000,31.4k,2150
Cyprus,1999,943k,#VALUE!,943,943000,943000,32.9k,2270
Cyprus,2000,960k,#VALUE!,960,960000,960000,33.8k,2200
Cyprus,2001,977k,#VALUE!,977,977000,977000,34.7k,2190
Cyprus,2002,994k,#VALUE!,994,994000,994000,35.2k,2350
Cyprus,2003,1.01,1010000,1.01M,#VALUE!,1010000,36.4k,2160
Cyprus,2004,1.03,1030000,1.03M,#VALUE!,1030000,37.7k,2160
Cyprus,2005,1.05,1050000,1.05M,#VALUE!,1050000,38.8k,2210
Cyprus,2006,1.06,1060000,1.06M,#VALUE!,1060000,39.9k,2290
Cyprus,2007,1.08,1080000,1.08M,#VALUE!,1080000,40.3k,2390
Cyprus,2008,1.1,1100000,1.1M,#VALUE!,1100000,38.5k,2300
Cyprus,2009,1.11,1110000,1.11M,#VALUE!,1110000,38.2k,2200
Cyprus,2010,1.12,1120000,1.12M,#VALUE!,1120000,37.4k,2110
Czech Republic,1970,9.85,9850000,9.85M,#VALUE!,9850000,12.3k,4620
Czech Republic,1971,9.89,9890000,9.89M,#VALUE!,9890000,13.1k,4610
Czech Republic,1972,9.95,9950000,9.95M,#VALUE!,9950000,13.8k,4550
Czech Republic,1973,10,10000000,10M,#VALUE!,10000000,14.5k,4190
Czech Republic,1974,10.1,10100000,10.1M,#VALUE!,10100000,15.4k,4340
Czech Republic,1975,10.1,10100000,10.1M,#VALUE!,10100000,16.1k,4440
Czech Republic,1976,10.2,10200000,10.2M,#VALUE!,10200000,16.8k,4720
Czech Republic,1977,10.3,10300000,10.3M,#VALUE!,10300000,17.6k,4430
Czech Republic,1978,10.3,10300000,10.3M,#VALUE!,10300000,18k,4700
Czech Republic,1979,10.3,10300000,10.3M,#VALUE!,10300000,18.5k,4560
Czech Republic,1980,10.4,10400000,10.4M,#VALUE!,10400000,18.6k,4570
Czech Republic,1981,10.4,10400000,10.4M,#VALUE!,10400000,18.5k,4630
Czech Republic,1982,10.4,10400000,10.4M,#VALUE!,10400000,19k,4650
Czech Republic,1983,10.3,10300000,10.3M,#VALUE!,10300000,19.7k,4740
Czech Republic,1984,10.3,10300000,10.3M,#VALUE!,10300000,20.3k,4760
Czech Republic,1985,10.3,10300000,10.3M,#VALUE!,10300000,21.1k,4840
Czech Republic,1986,10.3,10300000,10.3M,#VALUE!,10300000,21.9k,4980
Czech Republic,1987,10.3,10300000,10.3M,#VALUE!,10300000,22.5k,4880
Czech Republic,1988,10.3,10300000,10.3M,#VALUE!,10300000,23.2k,4740
Czech Republic,1989,10.3,10300000,10.3M,#VALUE!,10300000,23.7k,4800
Czech Republic,1990,10.3,10300000,10.3M,#VALUE!,10300000,21k,4350
Czech Republic,1991,10.4,10400000,10.4M,#VALUE!,10400000,20.8k,4220
Czech Republic,1992,10.4,10400000,10.4M,#VALUE!,10400000,20.8k,4090
Czech Republic,1993,10.4,10400000,10.4M,#VALUE!,10400000,21.4k,3960
Czech Republic,1994,10.4,10400000,10.4M,#VALUE!,10400000,22.8k,4020
Czech Republic,1995,10.4,10400000,10.4M,#VALUE!,10400000,23.8k,4150
Czech Republic,1996,10.3,10300000,10.3M,#VALUE!,10300000,23.7k,4180
Czech Republic,1997,10.3,10300000,10.3M,#VALUE!,10300000,23.7k,4060
Czech Republic,1998,10.3,10300000,10.3M,#VALUE!,10300000,24k,3780
Czech Republic,1999,10.3,10300000,10.3M,#VALUE!,10300000,25.1k,3990
Czech Republic,2000,10.3,10300000,10.3M,#VALUE!,10300000,25.9k,4110
Czech Republic,2001,10.3,10300000,10.3M,#VALUE!,10300000,26.4k,4160
Czech Republic,2002,10.2,10200000,10.2M,#VALUE!,10200000,27.3k,4360
Czech Republic,2003,10.2,10200000,10.2M,#VALUE!,10200000,28.6k,4460
Czech Republic,2004,10.3,10300000,10.3M,#VALUE!,10300000,30.5k,4400
Czech Republic,2005,10.3,10300000,10.3M,#VALUE!,10300000,32.5k,4490
Czech Republic,2006,10.4,10400000,10.4M,#VALUE!,10400000,34.1k,4470
Czech Republic,2007,10.4,10400000,10.4M,#VALUE!,10400000,34.7k,4330
Czech Republic,2008,10.5,10500000,10.5M,#VALUE!,10500000,32.9k,4030
Czech Republic,2009,10.5,10500000,10.5M,#VALUE!,10500000,33.6k,4240
Czech Republic,2010,10.6,10600000,10.6M,#VALUE!,10600000,34.1k,4080
Germany,1970,78.8,78800000,78.8M,#VALUE!,78800000,22.2k,3900
Germany,1971,78.9,78900000,78.9M,#VALUE!,78900000,23.2k,4020
Germany,1972,78.9,78900000,78.9M,#VALUE!,78900000,24.4k,4240
Germany,1973,78.9,78900000,78.9M,#VALUE!,78900000,24.8k,4160
Germany,1974,78.9,78900000,78.9M,#VALUE!,78900000,24.9k,3980
Germany,1975,78.8,78800000,78.8M,#VALUE!,78800000,26.5k,4310
Germany,1976,78.7,78700000,78.7M,#VALUE!,78700000,27.5k,4340
Germany,1977,78.6,78600000,78.6M,#VALUE!,78600000,28.5k,4480
Germany,1978,78.4,78400000,78.4M,#VALUE!,78400000,29.9k,4690
Germany,1979,78.3,78300000,78.3M,#VALUE!,78300000,30.3k,4560
Germany,1980,78.1,78100000,78.1M,#VALUE!,78100000,30.6k,4400
Germany,1981,77.9,77900000,77.9M,#VALUE!,77900000,30.6k,4260
Germany,1982,77.8,77800000,77.8M,#VALUE!,77800000,31.5k,4270
Germany,1983,77.7,77700000,77.7M,#VALUE!,77700000,32.7k,4450
Germany,1984,77.7,77700000,77.7M,#VALUE!,77700000,33.7k,4600
Germany,1985,77.8,77800000,77.8M,#VALUE!,77800000,34.7k,4590
Germany,1986,78,78000000,78M,#VALUE!,78000000,35.5k,4620
Germany,1987,78.3,78300000,78.3M,#VALUE!,78300000,36.8k,4630
Germany,1988,78.7,78700000,78.7M,#VALUE!,78700000,38k,4510
Germany,1989,79.1,79100000,79.1M,#VALUE!,79100000,36.8k,4420
Germany,1990,79.5,79500000,79.5M,#VALUE!,79500000,38.4k,4300
Germany,1991,80,80000000,80M,#VALUE!,80000000,38.8k,4190
Germany,1992,80.4,80400000,80.4M,#VALUE!,80400000,38.2k,4120
Germany,1993,80.8,80800000,80.8M,#VALUE!,80800000,38.9k,4090
Germany,1994,81.1,81100000,81.1M,#VALUE!,81100000,39.4k,4120
Germany,1995,81.3,81300000,81.3M,#VALUE!,81300000,39.6k,4250
Germany,1996,81.4,81400000,81.4M,#VALUE!,81400000,40.3k,4200
Germany,1997,81.4,81400000,81.4M,#VALUE!,81400000,41.1k,4180
Germany,1998,81.4,81400000,81.4M,#VALUE!,81400000,41.8k,4080
Germany,1999,81.4,81400000,81.4M,#VALUE!,81400000,43k,4090
Germany,2000,81.5,81500000,81.5M,#VALUE!,81500000,43.7k,4210
Germany,2001,81.5,81500000,81.5M,#VALUE!,81500000,43.5k,4110
Germany,2002,81.6,81600000,81.6M,#VALUE!,81600000,43.2k,4080
Germany,2003,81.6,81600000,81.6M,#VALUE!,81600000,43.7k,4110
Germany,2004,81.6,81600000,81.6M,#VALUE!,81600000,44k,4090
Germany,2005,81.5,81500000,81.5M,#VALUE!,81500000,45.8k,4200
Germany,2006,81.3,81300000,81.3M,#VALUE!,81300000,47.2k,3990
Germany,2007,81.1,81100000,81.1M,#VALUE!,81100000,47.7k,4040
Germany,2008,80.9,80900000,80.9M,#VALUE!,80900000,45.1k,3790
Germany,2009,80.8,80800000,80.8M,#VALUE!,80800000,47.1k,4000
Germany,2010,80.9,80900000,80.9M,#VALUE!,80900000,49.8k,3870
Denmark,1970,4.96,4960000,4.96M,#VALUE!,4960000,25.1k,3730
Denmark,1971,4.99,4990000,4.99M,#VALUE!,4990000,26.4k,3860
Denmark,1972,5.02,5020000,5.02M,#VALUE!,5020000,27.3k,3780
Denmark,1973,5.04,5040000,5.04M,#VALUE!,5040000,27.1k,3490
Denmark,1974,5.06,5060000,5.06M,#VALUE!,5060000,26.9k,3450
Denmark,1975,5.08,5080000,5.08M,#VALUE!,5080000,28.7k,3750
Denmark,1976,5.1,5100000,5.1M,#VALUE!,5100000,29.3k,3830
Denmark,1977,5.11,5110000,5.11M,#VALUE!,5110000,29.7k,3890
Denmark,1978,5.12,5120000,5.12M,#VALUE!,5120000,30.9k,4020
Denmark,1979,5.12,5120000,5.12M,#VALUE!,5120000,30.8k,3740
Denmark,1980,5.13,5130000,5.13M,#VALUE!,5130000,30.7k,3380
Denmark,1981,5.12,5120000,5.12M,#VALUE!,5120000,31.8k,3420
Denmark,1982,5.12,5120000,5.12M,#VALUE!,5120000,32.8k,3230
Denmark,1983,5.12,5120000,5.12M,#VALUE!,5120000,34.4k,3350
Denmark,1984,5.11,5110000,5.11M,#VALUE!,5110000,36.1k,3770
Denmark,1985,5.11,5110000,5.11M,#VALUE!,5110000,37.5k,3820
Denmark,1986,5.12,5120000,5.12M,#VALUE!,5120000,37.7k,3820
Denmark,1987,5.12,5120000,5.12M,#VALUE!,5120000,38.3k,3640
Denmark,1988,5.13,5130000,5.13M,#VALUE!,5130000,38.6k,3410
Denmark,1989,5.14,5140000,5.14M,#VALUE!,5140000,39.2k,3380
Denmark,1990,5.15,5150000,5.15M,#VALUE!,5150000,39.6k,3730
Denmark,1991,5.17,5170000,5.17M,#VALUE!,5170000,40.2k,3560
Denmark,1992,5.19,5190000,5.19M,#VALUE!,5190000,40.1k,3650
Denmark,1993,5.21,5210000,5.21M,#VALUE!,5210000,42.1k,3760
Denmark,1994,5.23,5230000,5.23M,#VALUE!,5230000,43.2k,3710
Denmark,1995,5.25,5250000,5.25M,#VALUE!,5250000,44.2k,4170
Denmark,1996,5.28,5280000,5.28M,#VALUE!,5280000,45.4k,3850
Denmark,1997,5.3,5300000,5.3M,#VALUE!,5300000,46.2k,3770
Denmark,1998,5.32,5320000,5.32M,#VALUE!,5320000,47.5k,3600
Denmark,1999,5.34,5340000,5.34M,#VALUE!,5340000,49.1k,3490
Denmark,2000,5.36,5360000,5.36M,#VALUE!,5360000,49.3k,3580
Denmark,2001,5.37,5370000,5.37M,#VALUE!,5370000,49.4k,3540
Denmark,2002,5.39,5390000,5.39M,#VALUE!,5390000,49.4k,3730
Denmark,2003,5.4,5400000,5.4M,#VALUE!,5400000,50.6k,3600
Denmark,2004,5.42,5420000,5.42M,#VALUE!,5420000,51.6k,3490
Denmark,2005,5.44,5440000,5.44M,#VALUE!,5440000,53.5k,3730
Denmark,2006,5.47,5470000,5.47M,#VALUE!,5470000,53.7k,3620
Denmark,2007,5.5,5500000,5.5M,#VALUE!,5500000,53.2k,3500
Denmark,2008,5.53,5530000,5.53M,#VALUE!,5530000,50.3k,3330
Denmark,2009,5.55,5550000,5.55M,#VALUE!,5550000,51k,3510
Denmark,2010,5.58,5580000,5.58M,#VALUE!,5580000,51.5k,3230
Dominican Republic,1970,4.63,4630000,4.63M,#VALUE!,4630000,3500,506
Dominican Republic,1971,4.76,4760000,4.76M,#VALUE!,4760000,3870,574
Dominican Republic,1972,4.88,4880000,4.88M,#VALUE!,4880000,4260,587
Dominican Republic,1973,5.01,5010000,5.01M,#VALUE!,5010000,4440,602
Dominican Republic,1974,5.14,5140000,5.14M,#VALUE!,5140000,4590,599
Dominican Republic,1975,5.28,5280000,5.28M,#VALUE!,5280000,4820,603
Dominican Republic,1976,5.41,5410000,5.41M,#VALUE!,5410000,4990,602
Dominican Republic,1977,5.54,5540000,5.54M,#VALUE!,5540000,5030,603
Dominican Republic,1978,5.67,5670000,5.67M,#VALUE!,5670000,5180,612
Dominican Republic,1979,5.8,5800000,5.8M,#VALUE!,5800000,5420,592
Dominican Republic,1980,5.94,5940000,5.94M,#VALUE!,5940000,5570,599
Dominican Republic,1981,6.07,6070000,6.07M,#VALUE!,6070000,5590,598
Dominican Republic,1982,6.2,6200000,6.2M,#VALUE!,6200000,5760,622
Dominican Republic,1983,6.33,6330000,6.33M,#VALUE!,6330000,5710,642
Dominican Republic,1984,6.46,6460000,6.46M,#VALUE!,6460000,5490,524
Dominican Republic,1985,6.6,6600000,6.6M,#VALUE!,6600000,5590,533
Dominican Republic,1986,6.73,6730000,6.73M,#VALUE!,6730000,5940,592
Dominican Republic,1987,6.86,6860000,6.86M,#VALUE!,6860000,5910,555
Dominican Republic,1988,7,7000000,7M,#VALUE!,7000000,6580,537
Dominican Republic,1989,7.13,7130000,7.13M,#VALUE!,7130000,6200,563
Dominican Republic,1990,7.27,7270000,7.27M,#VALUE!,7270000,6140,557
Dominican Republic,1991,7.41,7410000,7.41M,#VALUE!,7410000,6710,606
Dominican Republic,1992,7.55,7550000,7.55M,#VALUE!,7550000,7070,576
Dominican Republic,1993,7.68,7680000,7.68M,#VALUE!,7680000,7120,650
Dominican Republic,1994,7.82,7820000,7.82M,#VALUE!,7820000,7400,671
Dominican Republic,1995,7.95,7950000,7.95M,#VALUE!,7950000,7710,689
Dominican Republic,1996,8.08,8080000,8.08M,#VALUE!,8080000,8260,756
Dominican Republic,1997,8.21,8210000,8.21M,#VALUE!,8210000,8670,786
Dominican Republic,1998,8.34,8340000,8.34M,#VALUE!,8340000,9040,805
Dominican Republic,1999,8.47,8470000,8.47M,#VALUE!,8470000,9320,852
Dominican Republic,2000,8.6,8600000,8.6M,#VALUE!,8600000,9410,814
Dominican Republic,2001,8.72,8720000,8.72M,#VALUE!,8720000,9690,852
Dominican Republic,2002,8.85,8850000,8.85M,#VALUE!,8850000,9430,795
Dominican Republic,2003,8.97,8970000,8.97M,#VALUE!,8970000,9530,709
Dominican Republic,2004,9.1,9100000,9.1M,#VALUE!,9100000,10.3k,760
Dominican Republic,2005,9.22,9220000,9.22M,#VALUE!,9220000,11.1k,777
Dominican Republic,2006,9.34,9340000,9.34M,#VALUE!,9340000,11.8k,780
Dominican Republic,2007,9.46,9460000,9.46M,#VALUE!,9460000,12k,772
Dominican Republic,2008,9.58,9580000,9.58M,#VALUE!,9580000,11.9k,748
Dominican Republic,2009,9.7,9700000,9.7M,#VALUE!,9700000,12.8k,777
Dominican Republic,2010,9.81,9810000,9.81M,#VALUE!,9810000,13k,781
Algeria,1970,14.9,14900000,14.9M,#VALUE!,14900000,5830,233
Algeria,1971,15.3,15300000,15.3M,#VALUE!,15300000,6940,263
Algeria,1972,15.7,15700000,15.7M,#VALUE!,15700000,7060,307
Algeria,1973,16.1,16100000,16.1M,#VALUE!,16100000,7130,321
Algeria,1974,16.6,16600000,16.6M,#VALUE!,16600000,7340,332
Algeria,1975,17.1,17100000,17.1M,#VALUE!,17100000,7590,369
Algeria,1976,17.6,17600000,17.6M,#VALUE!,17600000,8070,401
Algeria,1977,18.1,18100000,18.1M,#VALUE!,18100000,8650,480
Algeria,1978,18.6,18600000,18.6M,#VALUE!,18600000,9030,590
Algeria,1979,19.2,19200000,19.2M,#VALUE!,19200000,8840,583
Algeria,1980,19.8,19800000,19.8M,#VALUE!,19800000,8840,615
Algeria,1981,20.5,20500000,20.5M,#VALUE!,20500000,9120,776
Algeria,1982,21.1,21100000,21.1M,#VALUE!,21100000,9330,813
Algeria,1983,21.8,21800000,21.8M,#VALUE!,21800000,9560,781
Algeria,1984,22.4,22400000,22.4M,#VALUE!,22400000,9630,791
Algeria,1985,23.1,23100000,23.1M,#VALUE!,23100000,9390,868
Algeria,1986,23.8,23800000,23.8M,#VALUE!,23800000,9070,833
Algeria,1987,24.4,24400000,24.4M,#VALUE!,24400000,8740,855
Algeria,1988,25.1,25100000,25.1M,#VALUE!,25100000,8890,825
Algeria,1989,25.8,25800000,25.8M,#VALUE!,25800000,8750,861
Algeria,1990,26.4,26400000,26.4M,#VALUE!,26400000,8430,889
Algeria,1991,27,27000000,27M,#VALUE!,27000000,8380,889
Algeria,1992,27.6,27600000,27.6M,#VALUE!,27600000,8030,872
Algeria,1993,28.2,28200000,28.2M,#VALUE!,28200000,7790,824
Algeria,1994,28.8,28800000,28.8M,#VALUE!,28800000,7940,843
Algeria,1995,29.3,29300000,29.3M,#VALUE!,29300000,8120,802
Algeria,1996,29.7,29700000,29.7M,#VALUE!,29700000,8080,809
Algeria,1997,30.2,30200000,30.2M,#VALUE!,30200000,8360,825
Algeria,1998,30.6,30600000,30.6M,#VALUE!,30600000,8510,868
Algeria,1999,31,31000000,31M,#VALUE!,31000000,8710,870
Algeria,2000,31.5,31500000,31.5M,#VALUE!,31500000,8860,860
Algeria,2001,31.9,31900000,31.9M,#VALUE!,31900000,9230,908
Algeria,2002,32.3,32300000,32.3M,#VALUE!,32300000,9770,953
Algeria,2003,32.7,32700000,32.7M,#VALUE!,32700000,10.1k,952
Algeria,2004,33.1,33100000,33.1M,#VALUE!,33100000,10.5k,978
Algeria,2005,33.6,33600000,33.6M,#VALUE!,33600000,10.5k,1030
Algeria,2006,34.2,34200000,34.2M,#VALUE!,34200000,10.7k,1080
Algeria,2007,34.7,34700000,34.7M,#VALUE!,34700000,10.8k,1070
Algeria,2008,35.3,35300000,35.3M,#VALUE!,35300000,10.8k,1150
Algeria,2009,36,36000000,36M,#VALUE!,36000000,11k,1110
Algeria,2010,36.7,36700000,36.7M,#VALUE!,36700000,11.1k,1140
Ecuador,1970,6.25,6250000,6.25M,#VALUE!,6250000,5670,358
Ecuador,1971,6.43,6430000,6.43M,#VALUE!,6430000,5870,361
Ecuador,1972,6.61,6610000,6.61M,#VALUE!,6610000,6450,356
Ecuador,1973,6.8,6800000,6.8M,#VALUE!,6800000,6660,419
Ecuador,1974,6.99,6990000,6.99M,#VALUE!,6990000,6850,449
Ecuador,1975,7.19,7190000,7.19M,#VALUE!,7190000,7330,486
Ecuador,1976,7.38,7380000,7.38M,#VALUE!,7380000,7620,567
Ecuador,1977,7.58,7580000,7.58M,#VALUE!,7580000,7960,569
Ecuador,1978,7.78,7780000,7.78M,#VALUE!,7780000,8190,585
Ecuador,1979,7.99,7990000,7.99M,#VALUE!,7990000,8370,625
Ecuador,1980,8.2,8200000,8.2M,#VALUE!,8200000,8520,634
Ecuador,1981,8.41,8410000,8.41M,#VALUE!,8410000,8420,665
Ecuador,1982,8.62,8620000,8.62M,#VALUE!,8620000,8070,601
Ecuador,1983,8.84,8840000,8.84M,#VALUE!,8840000,8220,628
Ecuador,1984,9.07,9070000,9.07M,#VALUE!,9070000,8380,619
Ecuador,1985,9.29,9290000,9.29M,#VALUE!,9290000,8440,602
Ecuador,1986,9.52,9520000,9.52M,#VALUE!,9520000,7750,601
Ecuador,1987,9.76,9760000,9.76M,#VALUE!,9760000,8400,615
Ecuador,1988,9.99,9990000,9.99M,#VALUE!,9990000,8240,574
Ecuador,1989,10.2,10200000,10.2M,#VALUE!,10200000,8290,619
Ecuador,1990,10.5,10500000,10.5M,#VALUE!,10500000,8450,635
Ecuador,1991,10.7,10700000,10.7M,#VALUE!,10700000,8430,629
Ecuador,1992,11,11000000,11M,#VALUE!,11000000,8410,573
Ecuador,1993,11.2,11200000,11.2M,#VALUE!,11200000,8570,600
Ecuador,1994,11.5,11500000,11.5M,#VALUE!,11500000,8580,687
Ecuador,1995,11.7,11700000,11.7M,#VALUE!,11700000,8540,708
Ecuador,1996,12,12000000,12M,#VALUE!,12000000,8720,720
Ecuador,1997,12.2,12200000,12.2M,#VALUE!,12200000,8830,725
Ecuador,1998,12.4,12400000,12.4M,#VALUE!,12400000,8240,639
Ecuador,1999,12.7,12700000,12.7M,#VALUE!,12700000,8180,695
Ecuador,2000,12.9,12900000,12.9M,#VALUE!,12900000,8350,724
Ecuador,2001,13.1,13100000,13.1M,#VALUE!,13100000,8540,695
Ecuador,2002,13.4,13400000,13.4M,#VALUE!,13400000,8630,693
Ecuador,2003,13.6,13600000,13.6M,#VALUE!,13600000,9180,658
Ecuador,2004,13.8,13800000,13.8M,#VALUE!,13800000,9500,675
Ecuador,2005,14.1,14100000,14.1M,#VALUE!,14100000,9760,667
Ecuador,2006,14.3,14300000,14.3M,#VALUE!,14300000,9810,742
Ecuador,2007,14.5,14500000,14.5M,#VALUE!,14500000,10.3k,672
Ecuador,2008,14.8,14800000,14.8M,#VALUE!,14800000,10.1k,788
Ecuador,2009,15,15000000,15M,#VALUE!,15000000,10.3k,784
Ecuador,2010,15.2,15200000,15.2M,#VALUE!,15200000,11k,818
Egypt,1970,35.3,35300000,35.3M,#VALUE!,35300000,2620,221
Egypt,1971,36.1,36100000,36.1M,#VALUE!,36100000,2650,238
Egypt,1972,36.9,36900000,36.9M,#VALUE!,36900000,2700,217
Egypt,1973,37.7,37700000,37.7M,#VALUE!,37700000,2770,238
Egypt,1974,38.5,38500000,38.5M,#VALUE!,38500000,3020,254
Egypt,1975,39.4,39400000,39.4M,#VALUE!,39400000,3440,289
Egypt,1976,40.3,40300000,40.3M,#VALUE!,40300000,3820,309
Egypt,1977,41.3,41300000,41.3M,#VALUE!,41300000,4020,311
Egypt,1978,42.3,42300000,42.3M,#VALUE!,42300000,4250,334
Egypt,1979,43.3,43300000,43.3M,#VALUE!,43300000,4590,349
Egypt,1980,44.4,44400000,44.4M,#VALUE!,44400000,4650,396
Egypt,1981,45.5,45500000,45.5M,#VALUE!,45500000,5020,423
Egypt,1982,46.7,46700000,46.7M,#VALUE!,46700000,5290,457
Egypt,1983,48,48000000,48M,#VALUE!,48000000,5490,494
Egypt,1984,49.3,49300000,49.3M,#VALUE!,49300000,5720,521
Egypt,1985,50.6,50600000,50.6M,#VALUE!,50600000,5740,521
Egypt,1986,52,52000000,52M,#VALUE!,52000000,5800,540
Egypt,1987,53.4,53400000,53.4M,#VALUE!,53400000,5960,538
Egypt,1988,54.8,54800000,54.8M,#VALUE!,54800000,6050,560
Egypt,1989,56.1,56100000,56.1M,#VALUE!,56100000,6090,575
Egypt,1990,57.4,57400000,57.4M,#VALUE!,57400000,6020,562
Egypt,1991,58.7,58700000,58.7M,#VALUE!,58700000,6150,564
Egypt,1992,59.9,59900000,59.9M,#VALUE!,59900000,6200,573
Egypt,1993,61.1,61100000,61.1M,#VALUE!,61100000,6320,541
Egypt,1994,62.3,62300000,62.3M,#VALUE!,62300000,6480,564
Egypt,1995,63.6,63600000,63.6M,#VALUE!,63600000,6670,586
Egypt,1996,64.9,64900000,64.9M,#VALUE!,64900000,6900,598
Egypt,1997,66.2,66200000,66.2M,#VALUE!,66200000,7140,629
Egypt,1998,67.5,67500000,67.5M,#VALUE!,67500000,7420,630
Egypt,1999,68.8,68800000,68.8M,#VALUE!,68800000,7750,590
Egypt,2000,70.2,70200000,70.2M,#VALUE!,70200000,7870,650
Egypt,2001,71.5,71500000,71.5M,#VALUE!,71500000,7910,658
Egypt,2002,72.8,72800000,72.8M,#VALUE!,72800000,8010,670
Egypt,2003,74.2,74200000,74.2M,#VALUE!,74200000,8180,711
Egypt,2004,75.5,75500000,75.5M,#VALUE!,75500000,8400,814
Egypt,2005,76.9,76900000,76.9M,#VALUE!,76900000,8810,845
Egypt,2006,78.2,78200000,78.2M,#VALUE!,78200000,9280,889
Egypt,2007,79.6,79600000,79.6M,#VALUE!,79600000,9760,908
Egypt,2008,81.1,81100000,81.1M,#VALUE!,81100000,10k,911
Egypt,2009,82.8,82800000,82.8M,#VALUE!,82800000,10.3k,877
Egypt,2010,84.5,84500000,84.5M,#VALUE!,84500000,10.3k,901
Spain,1970,34.3,34300000,34.3M,#VALUE!,34300000,12.4k,1240
Spain,1971,34.7,34700000,34.7M,#VALUE!,34700000,13.7k,1300
Spain,1972,35.1,35100000,35.1M,#VALUE!,35100000,14.8k,1470
Spain,1973,35.5,35500000,35.5M,#VALUE!,35500000,15.9k,1580
Spain,1974,35.9,35900000,35.9M,#VALUE!,35900000,16.3k,1610
Spain,1975,36.3,36300000,36.3M,#VALUE!,36300000,17k,1710
Spain,1976,36.7,36700000,36.7M,#VALUE!,36700000,17.5k,1660
Spain,1977,37,37000000,37M,#VALUE!,37000000,18k,1760
Spain,1978,37.4,37400000,37.4M,#VALUE!,37400000,18.2k,1770
Spain,1979,37.7,37700000,37.7M,#VALUE!,37700000,18.8k,1810
Spain,1980,38,38000000,38M,#VALUE!,38000000,18.8k,1820
Spain,1981,38.2,38200000,38.2M,#VALUE!,38200000,19.1k,1760
Spain,1982,38.4,38400000,38.4M,#VALUE!,38400000,19.5k,1780
Spain,1983,38.6,38600000,38.6M,#VALUE!,38600000,19.8k,1810
Spain,1984,38.7,38700000,38.7M,#VALUE!,38700000,20.4k,1840
Spain,1985,38.9,38900000,38.9M,#VALUE!,38900000,21.3k,1880
Spain,1986,39,39000000,39M,#VALUE!,39000000,22.9k,1920
Spain,1987,39,39000000,39M,#VALUE!,39000000,24.5k,2070
Spain,1988,39.1,39100000,39.1M,#VALUE!,39100000,26.2k,2270
Spain,1989,39.2,39200000,39.2M,#VALUE!,39200000,27.6k,2320
Spain,1990,39.3,39300000,39.3M,#VALUE!,39300000,28.3k,2400
Spain,1991,39.4,39400000,39.4M,#VALUE!,39400000,28.4k,2430
Spain,1992,39.5,39500000,39.5M,#VALUE!,39500000,27.9k,2320
Spain,1993,39.7,39700000,39.7M,#VALUE!,39700000,28.5k,2440
Spain,1994,39.8,39800000,39.8M,#VALUE!,39800000,29.1k,2540
Spain,1995,39.9,39900000,39.9M,#VALUE!,39900000,29.8k,2490
Spain,1996,40,40000000,40M,#VALUE!,40000000,30.8k,2630
Spain,1997,40.2,40200000,40.2M,#VALUE!,40200000,32k,2760
Spain,1998,40.5,40500000,40.5M,#VALUE!,40500000,33.3k,2880
Spain,1999,40.8,40800000,40.8M,#VALUE!,40800000,34.9k,3000
Spain,2000,41.3,41300000,41.3M,#VALUE!,41300000,36k,3060
Spain,2001,41.9,41900000,41.9M,#VALUE!,41900000,36.5k,3110
Spain,2002,42.6,42600000,42.6M,#VALUE!,42600000,36.9k,3160
Spain,2003,43.3,43300000,43.3M,#VALUE!,43300000,37.4k,3240
Spain,2004,44,44000000,44M,#VALUE!,44000000,38.1k,3250
Spain,2005,44.7,44700000,44.7M,#VALUE!,44700000,39k,3190
Spain,2006,45.4,45400000,45.4M,#VALUE!,45400000,39.6k,3180
Spain,2007,46.1,46100000,46.1M,#VALUE!,46100000,39.4k,3030
Spain,2008,46.6,46600000,46.6M,#VALUE!,46600000,37.5k,2760
Spain,2009,46.9,46900000,46.9M,#VALUE!,46900000,37.4k,2740
Spain,2010,47.1,47100000,47.1M,#VALUE!,47100000,37k,2690
Ethiopia,1970,29.2,29200000,29.2M,#VALUE!,29200000,1000,476
Ethiopia,1971,30.1,30100000,30.1M,#VALUE!,30100000,1020,474
Ethiopia,1972,31,31000000,31M,#VALUE!,31000000,1020,474
Ethiopia,1973,31.9,31900000,31.9M,#VALUE!,31900000,998,474
Ethiopia,1974,32.6,32600000,32.6M,#VALUE!,32600000,966,472
Ethiopia,1975,33.1,33100000,33.1M,#VALUE!,33100000,958,472
Ethiopia,1976,33.6,33600000,33.6M,#VALUE!,33600000,951,472
Ethiopia,1977,34,34000000,34M,#VALUE!,34000000,917,474
Ethiopia,1978,34.5,34500000,34.5M,#VALUE!,34500000,952,475
